geography code,level_4_qualifications_and_above
E02002559,2572
E02002560,932
E02002561,1107
E02002562,710
E02002563,766
E02002564,1223
E02002565,1058
E02002566,1177
E02002567,685
E02002568,2271
E02002569,2921
E02002570,947
E02002571,654
E02002572,931
E02002573,2290
E02004290,1246
E02004291,899
E02004292,1874
E02004293,1196
E02004294,2354
E02004295,1524
E02004296,1362
E02004297,1776
E02004298,2651
E02004299,1350
E02004300,958
E02004301,762
E02004302,875
E02004303,2107
E02004304,1340
E02004305,1332
E02004306,1650
E02004307,1322
E02004308,2222
E02004309,1669
E02004310,1613
E02004311,1959
E02004312,2278
E02004313,1591
E02004314,2742
E02004315,4229
E02004316,996
E02004317,1245
E02004318,1730
E02004319,1344
E02004320,1671
E02004321,1100
E02004322,641
E02004323,1145
E02004324,861
E02004325,627
E02004326,662
E02004327,511
E02004328,749
E02004329,1200
E02004330,674
E02004331,758
E02004332,1197
E02004333,1389
E02004334,955
E02004335,577
E02004336,754
E02004337,1427
E02004338,792
E02004339,2237
E02004340,997
E02004341,1950
E02004342,432
E02004343,663
E02004344,1017
E02004345,2636
E02004346,1418
E02004347,1474
E02004348,2069
E02004349,1094
E02004350,1681
E02004351,762
E02004352,1161
E02004353,1603
E02004354,1476
E02004355,693
E02002483,1696
E02002484,860
E02002485,653
E02002487,670
E02002488,1612
E02002489,1031
E02002490,675
E02002491,582
E02002492,737
E02002493,1205
E02002494,500
E02006909,2842
E02002496,1534
E02002497,402
E02002498,1171
E02002499,379
E02002500,1048
E02002501,640
E02002502,531
E02002503,612
E02002504,2261
E02002505,316
E02002506,569
E02002507,1441
E02002508,977
E02002509,698
E02002510,999
E02002512,1431
E02002513,1090
E02002514,1565
E02006811,2808
E02005702,1985
E02005703,1236
E02005704,2808
E02005705,2335
E02005706,1242
E02005707,1503
E02005708,2307
E02005709,429
E02005710,1211
E02005711,694
E02005712,887
E02005713,1394
E02005714,1485
E02005715,1026
E02005716,1355
E02005717,1574
E02005718,1250
E02005719,1260
E02005720,1988
E02005721,1283
E02005722,2495
E02005723,1529
E02005724,2452
