MSOA code,Total annual income,,,
E02004297," 39,800 ",,,
E02004290," 42,200 ",,,
E02004298," 40,100 ",,,
E02004299," 33,800 ",,,
E02004291," 33,400 ",,,
E02004300," 29,300 ",,,
E02004292," 39,400 ",,,
E02004301," 29,000 ",,,
E02004302," 30,200 ",,,
E02004303," 34,500 ",,,
E02004293," 30,100 ",,,
E02004304," 32,700 ",,,
E02004294," 45,600 ",,,
E02004305," 33,200 ",,,
E02004295," 37,900 ",,,
E02004320," 38,300 ",,,
E02004321," 31,900 ",,,
E02004322," 27,500 ",,,
E02004296," 35,400 ",,,
E02004306," 41,300 ",,,
E02004323," 35,700 ",,,
E02004308," 50,700 ",,,
E02004309," 39,300 ",,,
E02004307," 37,000 ",,,
E02004324," 34,700 ",,,
E02004310," 36,100 ",,,
E02004311," 36,300 ",,,
E02004312," 43,600 ",,,
E02004313," 32,400 ",,,
E02004314," 29,800 ",,,
E02004316," 35,200 ",,,
E02004325," 26,800 ",,,
E02004315," 54,900 ",,,
E02004326," 30,400 ",,,
E02004328," 30,500 ",,,
E02004327," 25,400 ",,,
E02004329," 34,900 ",,,
E02004317," 32,100 ",,,
E02004330," 28,700 ",,,
E02004331," 28,900 ",,,
E02004318," 39,400 ",,,
E02004348," 35,900 ",,,
E02004332," 34,900 ",,,
E02004319," 36,800 ",,,
E02004349," 30,000 ",,,
E02004350," 34,800 ",,,
E02004333," 35,700 ",,,
E02004334," 31,800 ",,,
E02004335," 28,800 ",,,
E02004336," 28,600 ",,,
E02004351," 30,400 ",,,
E02004337," 34,000 ",,,
E02004338," 31,700 ",,,
E02004339," 44,000 ",,,
E02004352," 33,300 ",,,
E02004353," 39,000 ",,,
E02004354," 35,400 ",,,
E02004355," 28,100 ",,,
E02004340," 28,000 ",,,
E02004341," 43,100 ",,,
E02004342," 29,200 ",,,
E02004343," 31,200 ",,,
E02004344," 32,400 ",,,
E02004345," 35,600 ",,,
E02004346," 38,000 ",,,
E02004347," 34,400 ",,,
E02002559," 48,000 ",,,
E02002560," 40,100 ",,,
E02002561," 37,600 ",,,
E02002562," 29,900 ",,,
E02002563," 34,000 ",,,
E02002564," 33,500 ",,,
E02002565," 35,800 ",,,
E02002566," 29,300 ",,,
E02002567," 31,300 ",,,
E02002568," 47,500 ",,,
E02002569," 45,800 ",,,
E02002570," 29,100 ",,,
E02002571," 32,900 ",,,
E02002572," 35,600 ",,,
E02002573," 43,900 ",,,
E02002483," 36,200 ",,,
E02002484," 27,200 ",,,
E02002485," 27,700 ",,,
E02002487," 28,200 ",,,
E02002488," 40,700 ",,,
E02002489," 29,300 ",,,
E02002490," 28,900 ",,,
E02002491," 28,000 ",,,
E02002492," 28,600 ",,,
E02002493," 36,700 ",,,
E02002494," 25,900 ",,,
E02006909," 40,500 ",,,
E02002496," 23,500 ",,,
E02002497," 24,700 ",,,
E02002498," 24,700 ",,,
E02002499," 24,900 ",,,
E02002500," 34,100 ",,,
E02002501," 29,700 ",,,
E02002502," 24,700 ",,,
E02002503," 31,200 ",,,
E02002504," 39,800 ",,,
E02002505," 26,200 ",,,
E02002506," 27,600 ",,,
E02002507," 41,700 ",,,
E02002508," 38,500 ",,,
E02002509," 33,800 ",,,
E02002510," 37,800 ",,,
E02002512," 45,500 ",,,
E02002513," 30,800 ",,,
E02002514," 33,900 ",,,
E02006811," 45,000 ",,,
E02005706," 30,400 ",,,
E02005707," 36,600 ",,,
E02005708," 35,000 ",,,
E02005702," 40,400 ",,,
E02005703," 34,900 ",,,
E02005704," 37,800 ",,,
E02005705," 41,300 ",,,
E02005720," 36,100 ",,,
E02005734," 29,900 ",,,
E02005735," 29,000 ",,,
E02005721," 40,400 ",,,
E02005737," 36,600 ",,,
E02005736," 33,000 ",,,
E02005738," 39,100 ",,,
E02005722," 48,200 ",,,
E02005723," 34,700 ",,,
E02005739," 36,600 ",,,
E02005724," 53,800 ",,,
E02005727," 39,900 ",,,
E02005740," 32,100 ",,,
E02005741," 39,000 ",,,
E02005709," 25,800 ",,,
E02005710," 31,600 ",,,
E02005711," 29,200 ",,,
E02005712," 37,400 ",,,
E02005713," 44,300 ",,,
E02005714," 56,200 ",,,
E02005716," 36,400 ",,,
E02005715," 31,700 ",,,
E02005717," 36,400 ",,,
E02005718," 37,600 ",,,
E02005719," 37,200 ",,,
E02005725," 43,800 ",,,
E02005726," 53,400 ",,,
E02005730," 40,100 ",,,
E02005729," 45,200 ",,,
E02005728," 34,600 ",,,
E02005731," 37,900 ",,,
E02005732," 45,800 ",,,
E02005733," 40,900 ",,,
E02002515," 29,000 ",,,
E02002516," 30,800 ",,,
E02002517," 29,000 ",,,
E02002518," 39,300 ",,,
E02002519," 28,100 ",,,
E02002520," 36,900 ",,,
E02002521," 34,400 ",,,
E02002523," 25,300 ",,,
E02002524," 34,900 ",,,
E02002525," 29,100 ",,,
E02002526," 34,900 ",,,
E02002527," 27,100 ",,,
E02002529," 33,100 ",,,
E02002530," 31,100 ",,,
E02002532," 31,200 ",,,
E02002533," 44,400 ",,,
E02002534," 45,000 ",,,
E02006812," 32,200 ",,,
E02006910," 30,900 ",,,
E02002535," 41,300 ",,,
E02002536," 33,300 ",,,
E02002537," 30,700 ",,,
E02002538," 33,700 ",,,
E02002539," 49,500 ",,,
E02002540," 43,000 ",,,
E02002541," 36,400 ",,,
E02002542," 29,800 ",,,
E02002543," 31,700 ",,,
E02002544," 28,700 ",,,
E02002545," 39,600 ",,,
E02002546," 30,900 ",,,
E02002547," 39,600 ",,,
E02002548," 28,100 ",,,
E02002549," 40,300 ",,,
E02002550," 40,500 ",,,
E02002551," 27,400 ",,,
E02002552," 33,600 ",,,
E02002553," 31,200 ",,,
E02002554," 28,600 ",,,
E02002555," 43,900 ",,,
E02002556," 50,800 ",,,
E02002557," 58,400 ",,,
E02002558," 45,900 ",,,
E02001682," 38,300 ",,,
E02001683," 37,900 ",,,
E02001684," 30,600 ",,,
E02001685," 32,300 ",,,
E02001686," 35,800 ",,,
E02001688," 32,500 ",,,
E02001689," 29,300 ",,,
E02001690," 37,200 ",,,
E02001691," 35,500 ",,,
E02001692," 30,000 ",,,
E02001693," 28,400 ",,,
E02001694," 34,700 ",,,
E02001695," 38,700 ",,,
E02001696," 30,300 ",,,
E02001697," 40,700 ",,,
E02001698," 42,500 ",,,
E02001699," 30,600 ",,,
E02001700," 36,700 ",,,
E02001701," 40,900 ",,,
E02001702," 28,300 ",,,
E02001703," 41,400 ",,,
E02001704," 30,600 ",,,
E02001705," 35,600 ",,,
E02001706," 32,700 ",,,
E02001707," 32,800 ",,,
E02006841," 34,700 ",,,
E02006842," 34,100 ",,,
E02001708," 40,100 ",,,
E02001709," 51,100 ",,,
E02001710," 31,300 ",,,
E02001711," 31,000 ",,,
E02001712," 52,500 ",,,
E02001713," 49,000 ",,,
E02001714," 51,600 ",,,
E02001715," 35,500 ",,,
E02001718," 28,700 ",,,
E02001719," 43,100 ",,,
E02001720," 46,500 ",,,
E02001721," 33,300 ",,,
E02001722," 31,400 ",,,
E02001723," 35,600 ",,,
E02001724," 41,400 ",,,
E02001725," 35,100 ",,,
E02001726," 31,500 ",,,
E02001727," 34,100 ",,,
E02001728," 33,200 ",,,
E02001729," 30,800 ",,,
E02001730," 31,000 ",,,
E02001731," 28,900 ",,,
E02001732," 30,800 ",,,
E02001733," 29,200 ",,,
E02001734," 28,300 ",,,
E02001735," 25,000 ",,,
E02001736," 26,900 ",,,
E02001737," 24,700 ",,,
E02006893," 36,400 ",,,
E02001738," 48,500 ",,,
E02001739," 34,100 ",,,
E02001740," 52,600 ",,,
E02001741," 38,600 ",,,
E02001742," 46,600 ",,,
E02001743," 43,200 ",,,
E02001744," 38,300 ",,,
E02001745," 37,200 ",,,
E02001746," 39,000 ",,,
E02001747," 40,400 ",,,
E02001748," 39,700 ",,,
E02001749," 37,000 ",,,
E02001750," 40,600 ",,,
E02001751," 35,100 ",,,
E02001752," 31,000 ",,,
E02001753," 39,600 ",,,
E02001754," 44,000 ",,,
E02001755," 42,000 ",,,
E02001756," 35,200 ",,,
E02001757," 34,100 ",,,
E02001758," 38,500 ",,,
E02001759," 34,500 ",,,
E02001760," 29,000 ",,,
E02001761," 32,800 ",,,
E02001762," 35,700 ",,,
E02001763," 28,000 ",,,
E02001764," 30,200 ",,,
E02001765," 30,600 ",,,
E02001766," 34,100 ",,,
E02001767," 31,800 ",,,
E02001768," 31,500 ",,,
E02001769," 26,000 ",,,
E02001770," 36,100 ",,,
